,club_id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transform_record,foriegners
966,c-1421,Stade Reims,n-50,,95.10m,Stade Auguste-Delaune,25,24.6,7,8550000.0,16
967,c-826,RC Lens,n-50,,184.10m,Stade Bollaert-Delelis,30,25.7,13,13240000.0,18
968,c-347,FC Metz,n-50,,25.25m,Stade Saint-Symphorien,21,25.0,7,14200000.0,14
969,c-3911,Stade Brestois 29,n-50,,69.00m,Stade Francis-Le Blé,26,25.5,4,-3250000.0,9
970,c-995,FC Nantes,n-50,,123.80m,Stade de la Beaujoire,27,26.3,8,-12450000.0,12
971,c-1158,FC Lorient,n-50,,87.40m,Stade du Moustoir,26,24.6,7,9250000.0,12
972,c-2969,Dijon FCO,n-50,,19.85m,Stade Gaston-Gérard,29,25.8,4,1500000.0,14
973,c-1160,Nîmes Olympique,n-50,,15.85m,Stade des Antonins,26,25.4,3,2500000.0,12
974,c-583,Paris Saint-Germain,n-50,,882.55m,Parc des Princes,27,25.1,13,-88200000.0,17
975,c-1041,Olympique Lyon,n-50,,231.80m,Groupama Stadium,23,25.2,2,46400000.0,10
976,c-162,AS Monaco,n-50,,324.20m,Stade Louis-II,27,24.3,9,112700000.0,27
977,c-1082,LOSC Lille,n-50,,220.90m,Decathlon Arena-Stade Pierre-Mauroy,23,26.0,8,75500000.0,15
978,c-273,Stade Rennais FC,n-50,,320.30m,Roazhon Park,28,24.5,11,14500000.0,14
979,c-244,Olympique Marseille,n-50,,259.20m,Orange Vélodrome,22,26.7,13,-77930000.0,16
980,c-417,OGC Nice,n-50,,235.60m,Allianz Riviera,27,24.4,13,-39600000.0,18
981,c-826,RC Lens,n-50,,184.10m,Stade Bollaert-Delelis,30,25.7,13,13240000.0,18
982,c-1421,Stade Reims,n-50,,95.10m,Stade Auguste-Delaune,25,24.6,7,8550000.0,16
983,c-969,Montpellier HSC,n-50,,115.40m,Stade de la Mosson,28,25.7,5,500000.0,12
984,c-667,RC Strasbourg Alsace,n-50,,98.55m,Stade de la Meinau,26,26.6,8,3900000.0,11
985,c-40,FC Girondins Bordeaux,n-50,,33.20m,Matmut Atlantique,26,22.7,6,12700000.0,13
986,c-995,FC Nantes,n-50,,123.80m,Stade de la Beaujoire,27,26.3,8,-12450000.0,12
987,c-618,AS Saint-Étienne,n-50,,39.00m,Stade Geoffroy-Guichard,29,25.1,3,12850000.0,8
988,c-3911,Stade Brestois 29,n-50,,69.00m,Stade Francis-Le Blé,26,25.5,4,-3250000.0,9
989,c-347,FC Metz,n-50,,25.25m,Stade Saint-Symphorien,21,25.0,7,14200000.0,14
990,c-1420,Angers SCO,n-50,,52.20m,Stade Raymond Kopa,31,25.0,6,31000000.0,15
991,c-1095,ESTAC Troyes,n-50,,77.30m,Stade de l'Aube,27,25.4,4,-14800000.0,13
992,c-1158,FC Lorient,n-50,,87.40m,Stade du Moustoir,26,24.6,7,9250000.0,12
993,c-3524,Clermont Foot 63,n-50,,37.20m,Stade Gabriel-Montpied,25,25.8,7,19100000.0,15
994,c-583,Paris Saint-Germain,n-50,"Aug 12, 1970",882.55m,Parc des Princes,27,25.1,13,-88200000.0,17
995,c-162,AS Monaco,n-50,"Aug 1, 1919",324.20m,Stade Louis-II,27,24.3,9,112700000.0,27
996,c-273,Stade Rennais FC,n-50,"Mar 10, 1901",320.30m,Roazhon Park,28,24.5,11,14500000.0,14
997,c-244,Olympique Marseille,n-50,"Aug 31, 1899",259.20m,Orange Vélodrome,22,26.7,13,-77930000.0,16
998,c-417,OGC Nice,n-50,"Jul 9, 1904",235.60m,Allianz Riviera,27,24.4,13,-39600000.0,18
999,c-1041,Olympique Lyon,n-50,"Aug 3, 1950",231.80m,Groupama Stadium,23,25.2,2,46400000.0,10
1000,c-1082,LOSC Lille,n-50,"Sep 23, 1944",220.90m,Decathlon Arena-Stade Pierre-Mauroy,23,26.0,8,75500000.0,15
1001,c-826,RC Lens,n-50,"Jan 1, 1906",184.10m,Stade Bollaert-Delelis,30,25.7,13,13240000.0,18
1002,c-995,FC Nantes,n-50,"Apr 21, 1943",123.80m,Stade de la Beaujoire,27,26.3,8,-12450000.0,12
1003,c-969,Montpellier HSC,n-50,"Jan 1, 1974",115.40m,Stade de la Mosson,28,25.7,5,500000.0,12
1004,c-667,RC Strasbourg Alsace,n-50,"Jan 1, 1906",98.55m,Stade de la Meinau,26,26.6,8,3900000.0,11
1005,c-1421,Stade Reims,n-50,"Jun 18, 1931",95.10m,Stade Auguste-Delaune,25,24.6,7,8550000.0,16
1006,c-1158,FC Lorient,n-50,"Apr 2, 1926",87.40m,Stade du Moustoir,26,24.6,7,9250000.0,12
1007,c-415,FC Toulouse,n-50,"Jan 1, 1937",78.85m,Stadium Municipal,26,24.4,6,-3000000.0,23
1008,c-1095,ESTAC Troyes,n-50,"Jan 1, 1986",77.30m,Stade de l'Aube,27,25.4,4,-14800000.0,13
1009,c-3911,Stade Brestois 29,n-50,"Jun 26, 1950",69.00m,Stade Francis-Le Blé,26,25.5,4,-3250000.0,9
1010,c-1420,Angers SCO,n-50,"Oct 19, 1919",52.20m,Stade Raymond Kopa,31,25.0,6,31000000.0,15
1011,c-290,AJ Auxerre,n-50,"Dec 29, 1905",49.90m,Stade de l'Abbé-Deschamps,33,25.7,10,-1250000.0,21
1012,c-3524,Clermont Foot 63,n-50,"Oct 11, 1911",37.20m,Stade Gabriel-Montpied,25,25.8,7,19100000.0,15
