id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transfer_record,foreigners,season,market_value,league_id
c-2969,Dijon FCO,n-50,,19850000.0,Stade Gaston-Gأ©rard,29,25.8,4,1500000.0,14.0,,,
c-14171,Thonon أ‰vian Grand Genأ¨ve FC,n-50,,,Stade Camille Fournier,27,27.4,1,0.0,6.0,,,
c-1147,AC Ajaccio,n-50,,27150000.0,Stade Franأ§ois-Coty,30,28.4,9,300000.0,15.0,,,
c-595,SC Bastia,n-50,,12300000.0,Stade Armand-Cesari,25,27.6,6,480000.0,8.0,,,
c-1421,Stade Reims,n-50,,95100000.0,Stade Auguste-Delaune,25,24.6,7,8550000.0,16.0,,,
c-1095,ESTAC Troyes,n-50,,77300000.0,Stade de l'Aube,27,25.4,4,-14800000.0,13.0,,,
c-995,FC Nantes,n-50,,123800000.0,Stade de la Beaujoire,27,26.3,8,-12450000.0,12.0,,,
c-855,EA Guingamp,n-50,,21550000.0,Stade du Roudourou,27,25.4,1,3700000.0,7.0,,,
c-347,FC Metz,n-50,,25250000.0,Stade Saint-Symphorien,21,25.0,7,14200000.0,14.0,,,
c-1420,Angers SCO,n-50,,52200000.0,Stade Raymond Kopa,31,25.0,6,31000000.0,15.0,,,
c-3558,GFC Ajaccio,n-50,,,Stade Ange-Casanova,5,26.8,1,0.0,1.0,,,
c-1416,Amiens SC,n-50,,22200000.0,Stade Crأ©dit Agricole la Licorne,24,24.1,7,700000.0,10.0,,,
c-667,RC Strasbourg Alsace,n-50,,98550000.0,Stade de la Meinau,26,26.6,8,3900000.0,11.0,,,
c-1160,Nأ®mes Olympique,n-50,,15850000.0,Stade des Antonins,26,25.4,3,2500000.0,12.0,,,
c-3524,Clermont Foot 63,n-50,,37200000.0,Stade Gabriel-Montpied,25,25.8,7,19100000.0,15.0,,,
c-131,FC Barcelona,n-157,,767000000.0,Spotify Camp Nou,22,25.5,17,-118500000.0,9.0,,,
c-418,Real Madrid,n-157,,860500000.0,Santiago Bernabأ©u,24,27.6,16,12150000.0,17.0,,,
c-13,Atlأ©tico de Madrid,n-157,,457000000.0,Civitas Metropolitano,22,28.6,16,-9250000.0,15.0,,,
c-1049,Valencia CF,n-157,,225650000.0,Mestalla,26,25.0,9,42100000.0,14.0,,,
c-368,Sevilla FC,n-157,,209000000.0,Ramأ³n Sأ،nchez-Pizjuأ،n,24,28.8,9,62100000.0,18.0,,,
c-1050,Villarreal CF,n-157,,278200000.0,La Cerأ،mica,23,28.4,8,25120000.0,9.0,,,
c-621,Athletic Bilbao,n-157,,226300000.0,San Mamأ©s,25,27.8,4,0.0,1.0,,,
c-714,RCD Espanyol Barcelona,n-157,,113700000.0,RCDE Stadium,27,26.1,5,-5800000.0,7.0,,,
c-3302,UD Almerأ­a,n-157,,93600000.0,Power Horse Stadium,26,26.2,3,-14880000.0,13.0,,,
c-1084,Mأ،laga CF,n-157,,18500000.0,La Rosaleda,27,28.0,0,950000.0,8.0,,,
c-681,Real Sociedad,n-157,,376000000.0,Reale Arena ,27,25.4,6,27500000.0,5.0,,,
c-3709,Getafe CF,n-157,,136700000.0,Coliseum Alfonso Pأ©rez,25,27.8,9,4750000.0,12.0,,,
c-897,Deportivo de La Coruأ±a,n-157,,8900000.0,Abanca Riazor,24,27.7,0,-435000.0,3.0,,,
c-630,Racing Santander,n-157,,12800000.0,El Sardinero,26,26.8,0,5000000.0,5.0,,,
c-331,CA Osasuna,n-157,,127700000.0,El Sadar,22,27.9,3,-2000000.0,4.0,,,
c-142,Real Zaragoza,n-157,,29400000.0,La Romareda,27,26.0,3,1500000.0,9.0,,,
c-237,RCD Mallorca,n-157,,93600000.0,Mallorca Son Moix,24,27.9,9,-8320000.0,13.0,,,
c-2448,Sporting Gijأ³n,n-157,,27200000.0,El Molinأ³n - Enrique Castro Quini,28,26.2,2,5230000.0,10.0,,,
c-7971,Hأ©rcules CF,n-157,,4080000.0,Josأ© Rico Pأ©rez,26,26.0,0,0.0,5.0,,,
c-3368,Levante UD,n-157,,41600000.0,Ciutat de Valأ¨ncia,23,27.5,0,7800000.0,6.0,,,
c-16795,Granada CF,n-157,,47000000.0,Nuevo Los Cأ،rmenes,28,28.0,3,27460000.0,8.0,,,
c-150,Real Betis Balompiأ©,n-157,,252500000.0,Benito Villamarأ­n,26,29.0,9,-10250000.0,13.0,,,
c-367,Rayo Vallecano,n-157,,95200000.0,Campo de Fأ؛tbol de Vallecas,25,28.8,6,-11100000.0,8.0,,,
c-940,Celta de Vigo,n-157,,146200000.0,Abanca Balaأ­dos,23,26.4,6,-5150000.0,10.0,,,
c-366,Real Valladolid CF,n-157,,76600000.0,Nuevo Josأ© Zorrilla,24,28.0,6,-5000000.0,10.0,,,
c-1531,Elche CF,n-157,,60700000.0,Manuel Martأ­nez Valero,26,27.7,2,-7660000.0,10.0,,,
c-993,Cأ³rdoba CF,n-157,,6300000.0,Nuevo Arcأ،ngel,24,27.9,0,0.0,4.0,,,
c-1533,SD Eibar,n-157,,26900000.0,Ipurua,26,28.3,0,2600000.0,5.0,,,
c-472,UD Las Palmas,n-157,,27000000.0,Estadio de Gran Canaria,26,26.8,1,-500000.0,6.0,,,
c-1108,Deportivo Alavأ©s,n-157,,34300000.0,Mendizorroza,24,26.1,3,625000.0,10.0,,,
c-1244,CD Leganأ©s,n-157,,28200000.0,Butarque,23,28.6,3,1000000.0,8.0,,,
c-12321,Girona FC,n-157,,126200000.0,Montilivi,25,26.6,4,-15000000.0,11.0,,,
c-5358,SD Huesca,n-157,,20900000.0,El Alcoraz,24,27.5,2,1430000.0,8.0,,,
c-2687,Cأ،diz CF,n-157,,62400000.0,Nuevo Mirandilla,29,29.0,4,-8500000.0,9.0,,,
c-6767,,,,,,,,,,,,,
c-2464,,,,,,,,,,,,,
c-9899,,,,,,,,,,,,,
c-2865,,,,,,,,,,,,,
c-6182,,,,,,,,,,,,,
c-8733,,,,,,,,,,,,,
c-8516,,,,,,,,,,,,,
c-10773,,,,,,,,,,,,,
c-8512,,,,,,,,,,,,,
c-8524,,,,,,,,,,,,,
c-17,,,,,,,,,,,,,
c-177,,,,,,,,,,,,,
c-7968,,,,,,,,,,,,,
c-16672,,,,,,,,,,,,,
c-8305,,,,,,,,,,,,,
c-1461,,,,,,,,,,,,,
c-14968,,,,,,,,,,,,,
c-12181,,,,,,,,,,,,,
c-21322,,,,,,,,,,,,,
c-648,,,,,,,,,,,,,
c-11596,,,,,,,,,,,,,
c-3679,,,,,,,,,,,,,
c-11669,,,,,,,,,,,,,
c-16075,,,,,,,,,,,,,
c-47421,,,,,,,,,,,,,
c-67212,,,,,,,,,,,,,
c-24420,,,,,,,,,,,,,
c-21557,,,,,,,,,,,,,
c-42925,,,,,,,,,,,,,
c-15066,,,,,,,,,,,,,
c-85559,,,,,,,,,,,,,
c-53397,,,,,,,,,,,,,
c-78105,,,,,,,,,,,,,
c-4030,,,,,,,,,,,,,
c-515,,,,,,,,,,,,,
c-1532,,,,,,,,,,,,,
c-6688,,,,,,,,,,,,,
c-6665,,,,,,,,,,,,,
c-16687,,,,,,,,,,,,,
c-28861,,,,,,,,,,,,,
c-12317,,,,,,,,,,,,,
c-75,,,,,,,,,,,,,
c-5650,,,,,,,,,,,,,
c-34148,,,,,,,,,,,,,
c-5648,,,,,,,,,,,,,
c-1087,,,,,,,,,,,,,
c-2502,,,,,,,,,,,,,
c-8568,,,,,,,,,,,,,
c-12826,,,,,,,,,,,,,
c-50213,,,,,,,,,,,,,
c-76885,,,,,,,,,,,,,
c-46854,,,,,,,,,,,,,
c-11602,,,,,,,,,,,,,
c-13242,,,,,,,,,,,,,
c-18687,,,,,,,,,,,,,
c-4050,,,,,,,,,,,,,
c-11607,,,,,,,,,,,,,
c-14029,,,,,,,,,,,,,
c-9666,,,,,,,,,,,,,
c-3705,,,,,,,,,,,,,
c-8494,,,,,,,,,,,,,
c-2470,,,,,,,,,,,,,
c-39813,,,,,,,,,,,,,
c-14321,,,,,,,,,,,,,
c-49957,,,,,,,,,,,,,
c-33593,,,,,,,,,,,,,
c-14707,,,,,,,,,,,,,
c-4054,,,,,,,,,,,,,
c-49734,,,,,,,,,,,,,
c-2259,,,,,,,,,,,,,
c-8042,,,,,,,,,,,,,
c-21568,,,,,,,,,,,,,
c-20963,,,,,,,,,,,,,
c-171,,,,,,,,,,,,,
c-18166,,,,,,,,,,,,,
c-2497,,,,,,,,,,,,,
c-7078,,,,,,,,,,,,,
c-2420,,,,,,,,,,,,,
c-7179,,,,,,,,,,,,,
c-11516,,,,,,,,,,,,,
c-12798,,,,,,,,,,,,,
c-25264,,,,,,,,,,,,,
c-21236,,,,,,,,,,,,,
c-53283,,,,,,,,,,,,,
c-12605,,,,,,,,,,,,,
c-14796,,,,,,,,,,,,,
c-16486,,,,,,,,,,,,,
c-8519,,,,,,,,,,,,,
c-28868,,,,,,,,,,,,,
c-14604,,,,,,,,,,,,,
c-11470,,,,,,,,,,,,,
c-4321,,,,,,,,,,,,,
c-11004,,,,,,,,,,,,,
c-21550,,,,,,,,,,,,,
c-5622,,,,,,,,,,,,,
c-22637,,,,,,,,,,,,,
c-7964,,,,,,,,,,,,,
c-33600,,,,,,,,,,,,,
c-20043,,,,,,,,,,,,,
c-2296,,,,,,,,,,,,,
c-1536,,,,,,,,,,,,,
c-12834,,,,,,,,,,,,,
c-12567,,,,,,,,,,,,,
c-25680,,,,,,,,,,,,,
c-70473,,,,,,,,,,,,,
c-14740,,,,,,,,,,,,,
c-11422,,,,,,,,,,,,,
c-13222,,,,,,,,,,,,,
c-6638,,,,,,,,,,,,,
c-34466,,,,,,,,,,,,,
c-45258,,,,,,,,,,,,,
c-11259,,,,,,,,,,,,,
c-134,,,,,,,,,,,,,
c-2868,,,,,,,,,,,,,
c-28870,,,,,,,,,,,,,
c-18669,,,,,,,,,,,,,
c-19301,,,,,,,,,,,,,
c-38456,,,,,,,,,,,,,
c-85460,,,,,,,,,,,,,
c-17738,,,,,,,,,,,,,
c-12604,,,,,,,,,,,,,
c-49806,,,,,,,,,,,,,
c-75344,,,,,,,,,,,,,
c-70324,,,,,,,,,,,,,
c-16694,,,,,,,,,,,,,
c-54619,,,,,,,,,,,,,
c-31552,,,,,,,,,,,,,
c-21297,,,,,,,,,,,,,
