id,name,teams_number,market_value,players_number,avg_age,foreigners,country_id
bayernliga-nord,Bayernliga Nord,,,,,,40
bayernliga-sud,Bayernliga Süd,,,,,,40
mittelrheinliga,Mittelrheinliga,,,,,,40
oberliga-niederrhein,Oberliga Niederrhein,,,,,,40
oberliga-rheinland-pfalz-saar,OL RP/Saar,,,,,,40
oberliga-westfalen,Oberliga Westfalen,,,,,,40
nofv-oberliga-nord,NOFV-Oberliga Nord,,,,,,40
nofv-oberliga-sud,NOFV-Oberliga Süd,,,,,,40
bremenliga,Bremenliga,,,,,,40
oberliga-schleswig-holstein,Oberliga Schleswig-Holstein,,,,,,40
oberliga-niedersachsen,OL Niedersachsen,,,,,,40
dfb-pokal,DFB-Pokal,,,,,,40
dfl-supercup,DFL-Supercup,,,,,,40
brandenburgliga,Brandenburgliga,,,,,,40
landesliga-bayern-mitte,LL Bayern-Mitte,,,,,,40
landesliga-bayern-nordost,LL Bayern-N/O,,,,,,40
landesliga-bayern-nordwest,LL Bayern-N/W,,,,,,40
landesliga-bayern-sudost,LL Bayern-S/O,,,,,,40
landesliga-bremen,Landesliga Bremen,,,,,,40
landesliga-holstein,Landesliga Holstein,,,,,,40
landesliga-luneburg,LL Lüneburg,,,,,,40
landesliga-mittelrhein-staffel-1,LL Mittelr. 1,,,,,,40
landesliga-mittelrhein-staffel-2,LL Mittelr. 2,,,,,,40
schroder-liga-saar,Saarlandliga,,,,,,40
landesliga-schleswig,Landesliga Schleswig,,,,,,40
landesliga-braunschweig,LL Braunschweig,,,,,,40
landesliga-hannover,LL Hannover,,,,,,40
landesliga-niederrhein-gruppe-1,LL Niederrhein-Gr. 1,,,,,,40
landesliga-niederrhein-gruppe-2,LL Niederrhein-Gr. 2,,,,,,40
landesliga-weser-ems,LL Weser-Ems,,,,,,40
rheinlandliga,Rheinlandliga,,,,,,40
landesliga-sachsen,Sachsenliga,,,,,,40
thuringenliga,Thüringenliga,,,,,,40
verbandsliga-nordbaden,VL Nordbaden,,,,,,40
berlin-liga,Berlin-Liga,,,,,,40
verbandsliga-wurttemberg,VL Württemberg,,,,,,40
verbandsliga-hessen-mitte,VL Hessen-Mitte,,,,,,40
verbandsliga-hessen-nord,VL Hessen-Nord,,,,,,40
verbandsliga-hessen-sud,VL Hessen-Süd,,,,,,40
verbandsliga-mecklenburg-vorpommern,VL Meckl.-Vorpommern,,,,,,40
